run_id,gpu_pair,model,policy,throughput,pair_cost,perf_per_cost
gptoss20b_a100_l40s_af_vllm_r0,a100_l40s,gptoss20b,af,1847.0,2.5,738.8
gptoss20b_a100_l40s_fluidgpu_vllm_r0,a100_l40s,gptoss20b,fluidgpu,2213.0,2.5,885.2
gptoss20b_a100_l40s_homo-left_vllm_r0,a100_l40s,gptoss20b,homo-left,1252.0,1.5,834.6666666666666
gptoss20b_a100_l40s_homo-right_vllm_r0,a100_l40s,gptoss20b,homo-right,994.0,1.0,994.0
gptoss20b_a100_l40s_pd_vllm_r0,a100_l40s,gptoss20b,pd,2030.0,2.5,812.0
gptoss20b_a100_l40s_request-dist_vllm_r0,a100_l40s,gptoss20b,request-dist,2021.0,2.5,808.4
gptoss20b_b200_h100_af_paperref,b200_h100,gptoss20b,af,5602.81,7.9,709.2164556962025
gptoss20b_b200_h100_fluidgpu_paperref,b200_h100,gptoss20b,fluidgpu,7272.33,7.9,920.5481012658228
gptoss20b_b200_h100_homo-left_paperref,b200_h100,gptoss20b,homo-left,4947.16,5.0,989.432
gptoss20b_b200_h100_homo-right_paperref,b200_h100,gptoss20b,homo-right,2005.72,2.9,691.6275862068966
gptoss20b_b200_h100_pd_paperref,b200_h100,gptoss20b,pd,5363.02,7.9,678.8632911392406
gptoss20b_b200_h100_request-dist_paperref,b200_h100,gptoss20b,request-dist,5094.87,7.9,644.9202531645569
gptoss20b_h100_rtxpro6000_af_paperref,h100_rtxpro6000,gptoss20b,af,3156.56,4.1,769.8926829268294
gptoss20b_h100_rtxpro6000_fluidgpu_paperref,h100_rtxpro6000,gptoss20b,fluidgpu,4389.46,4.1,1070.6000000000001
gptoss20b_h100_rtxpro6000_homo-left_paperref,h100_rtxpro6000,gptoss20b,homo-left,2005.72,2.9,691.6275862068966
gptoss20b_h100_rtxpro6000_homo-right_paperref,h100_rtxpro6000,gptoss20b,homo-right,1874.07,1.2,1561.725
gptoss20b_h100_rtxpro6000_pd_paperref,h100_rtxpro6000,gptoss20b,pd,3091.82,4.1,754.1024390243904
