name,prefill_us,decode_us
embed,4.345,3.046
layer_0_attn,969.485,162.910
layer_0_mlp,6136.793,1049.118
layer_1_attn,969.485,162.910
layer_1_mlp,6136.793,1049.118
layer_2_attn,969.485,162.910
layer_2_mlp,6136.793,1049.118
layer_3_attn,969.485,162.910
layer_3_mlp,6136.793,1049.118
layer_4_attn,969.485,162.910
layer_4_mlp,6136.793,1049.118
layer_5_attn,969.485,162.910
layer_5_mlp,6136.793,1049.118
layer_6_attn,969.485,162.910
layer_6_mlp,6136.793,1049.118
layer_7_attn,969.485,162.910
layer_7_mlp,6136.793,1049.118
layer_8_attn,969.485,162.910
layer_8_mlp,6136.793,1049.118
layer_9_attn,969.485,162.910
layer_9_mlp,6136.793,1049.118
layer_10_attn,969.485,162.910
layer_10_mlp,6136.793,1049.118
layer_11_attn,969.485,162.910
layer_11_mlp,6136.793,1049.118
layer_12_attn,969.485,162.910
layer_12_mlp,6136.793,1049.118
layer_13_attn,969.485,162.910
layer_13_mlp,6136.793,1049.118
layer_14_attn,969.485,162.910
layer_14_mlp,6136.793,1049.118
layer_15_attn,969.485,162.910
layer_15_mlp,6136.793,1049.118
layer_16_attn,969.485,162.910
layer_16_mlp,6136.793,1049.118
layer_17_attn,969.485,162.910
layer_17_mlp,6136.793,1049.118
layer_18_attn,969.485,162.910
layer_18_mlp,6136.793,1049.118
layer_19_attn,969.485,162.910
layer_19_mlp,6136.793,1049.118
layer_20_attn,969.485,162.910
layer_20_mlp,6136.793,1049.118
layer_21_attn,969.485,162.910
layer_21_mlp,6136.793,1049.118
layer_22_attn,969.485,162.910
layer_22_mlp,6136.793,1049.118
layer_23_attn,969.485,162.910
layer_23_mlp,6136.793,1049.118
norm_lm_head,710.379,709.157
