name,prefill_us,decode_us
embed,4.371,3.066
layer_0_attn,969.680,163.032
layer_0_mlp,1479.496,194.412
layer_1_attn,969.680,163.032
layer_1_mlp,1479.496,194.412
layer_2_attn,969.680,163.032
layer_2_mlp,1479.496,194.412
layer_3_attn,969.680,163.032
layer_3_mlp,1479.496,194.412
layer_4_attn,969.680,163.032
layer_4_mlp,1479.496,194.412
layer_5_attn,969.680,163.032
layer_5_mlp,1479.496,194.412
layer_6_attn,969.680,163.032
layer_6_mlp,1479.496,194.412
layer_7_attn,969.680,163.032
layer_7_mlp,1479.496,194.412
layer_8_attn,969.680,163.032
layer_8_mlp,1479.496,194.412
layer_9_attn,969.680,163.032
layer_9_mlp,1479.496,194.412
layer_10_attn,969.680,163.032
layer_10_mlp,1479.496,194.412
layer_11_attn,969.680,163.032
layer_11_mlp,1479.496,194.412
layer_12_attn,969.680,163.032
layer_12_mlp,1479.496,194.412
layer_13_attn,969.680,163.032
layer_13_mlp,1479.496,194.412
layer_14_attn,969.680,163.032
layer_14_mlp,1479.496,194.412
layer_15_attn,969.680,163.032
layer_15_mlp,1479.496,194.412
layer_16_attn,969.680,163.032
layer_16_mlp,1479.496,194.412
layer_17_attn,969.680,163.032
layer_17_mlp,1479.496,194.412
layer_18_attn,969.680,163.032
layer_18_mlp,1479.496,194.412
layer_19_attn,969.680,163.032
layer_19_mlp,1479.496,194.412
layer_20_attn,969.680,163.032
layer_20_mlp,1479.496,194.412
layer_21_attn,969.680,163.032
layer_21_mlp,1479.496,194.412
layer_22_attn,969.680,163.032
layer_22_mlp,1479.496,194.412
layer_23_attn,969.680,163.032
layer_23_mlp,1479.496,194.412
norm_lm_head,711.308,709.907
