name,prefill_us,decode_us
embed,2.759,1.702
layer_0_attn,624.574,140.569
layer_0_mlp,2315.931,152.442
layer_1_attn,624.574,140.569
layer_1_mlp,2315.931,152.442
layer_2_attn,624.574,140.569
layer_2_mlp,2315.931,152.442
layer_3_attn,624.574,140.569
layer_3_mlp,2315.931,152.442
layer_4_attn,624.574,140.569
layer_4_mlp,2315.931,152.442
layer_5_attn,624.574,140.569
layer_5_mlp,2315.931,152.442
layer_6_attn,624.574,140.569
layer_6_mlp,2315.931,152.442
layer_7_attn,624.574,140.569
layer_7_mlp,2315.931,152.442
layer_8_attn,624.574,140.569
layer_8_mlp,2315.931,152.442
layer_9_attn,624.574,140.569
layer_9_mlp,2315.931,152.442
layer_10_attn,624.574,140.569
layer_10_mlp,2315.931,152.442
layer_11_attn,624.574,140.569
layer_11_mlp,2315.931,152.442
layer_12_attn,624.574,140.569
layer_12_mlp,2315.931,152.442
layer_13_attn,624.574,140.569
layer_13_mlp,2315.931,152.442
layer_14_attn,624.574,140.569
layer_14_mlp,2315.931,152.442
layer_15_attn,624.574,140.569
layer_15_mlp,2315.931,152.442
layer_16_attn,624.574,140.569
layer_16_mlp,2315.931,152.442
layer_17_attn,624.574,140.569
layer_17_mlp,2315.931,152.442
layer_18_attn,624.574,140.569
layer_18_mlp,2315.931,152.442
layer_19_attn,624.574,140.569
layer_19_mlp,2315.931,152.442
layer_20_attn,624.574,140.569
layer_20_mlp,2315.931,152.442
layer_21_attn,624.574,140.569
layer_21_mlp,2315.931,152.442
layer_22_attn,624.574,140.569
layer_22_mlp,2315.931,152.442
layer_23_attn,624.574,140.569
layer_23_mlp,2315.931,152.442
norm_lm_head,1612.902,1612.885
