name,prefill_us,decode_us
embed,69.632,42.096
layer_0_attn,1829.888,1534.448
layer_0_mlp,3293.184,1529.872
layer_1_attn,1620.128,1413.120
layer_1_mlp,3241.984,1528.832
layer_2_attn,1780.736,1565.184
layer_2_mlp,3248.320,1524.736
layer_3_attn,1614.848,1409.024
layer_3_mlp,3230.592,1522.224
layer_4_attn,1801.216,1569.792
layer_4_mlp,3191.808,1522.688
layer_5_attn,1609.728,1405.952
layer_5_mlp,3198.976,1522.176
layer_6_attn,1800.192,1572.448
layer_6_mlp,3200.000,1526.784
layer_7_attn,1611.776,1406.976
layer_7_mlp,3178.400,1522.240
layer_8_attn,1782.784,1569.792
layer_8_mlp,3037.184,1522.688
layer_9_attn,1626.112,1404.928
layer_9_mlp,2889.728,1523.712
layer_10_attn,1789.952,1567.696
layer_10_mlp,3153.856,1524.736
layer_11_attn,1624.064,1406.976
layer_11_mlp,2893.824,1523.760
layer_12_attn,1794.048,1566.720
layer_12_mlp,3062.656,1522.176
layer_13_attn,1617.856,1407.040
layer_13_mlp,3176.320,1521.664
layer_14_attn,1789.920,1572.864
layer_14_mlp,2757.696,1521.152
layer_15_attn,1623.040,1409.024
layer_15_mlp,2898.944,1522.688
layer_16_attn,1793.024,1568.768
layer_16_mlp,2866.176,1522.688
layer_17_attn,1614.848,1408.000
layer_17_mlp,3150.848,1521.664
layer_18_attn,1787.904,1562.784
layer_18_mlp,2739.200,1523.744
layer_19_attn,1618.944,1408.944
layer_19_mlp,3163.136,1521.664
layer_20_attn,1781.760,1568.816
layer_20_mlp,3041.280,1522.720
layer_21_attn,1624.000,1404.928
layer_21_mlp,2995.296,1524.176
layer_22_attn,1796.096,1569.776
layer_22_mlp,2902.016,1523.712
layer_23_attn,1629.184,1404.928
layer_23_mlp,3002.368,1521.264
norm_lm_head,1796.096,1793.024
