name,prefill_us,decode_us
embed,58.368,38.912
layer_0_attn,753.664,571.392
layer_0_mlp,1071.104,381.952
layer_1_attn,676.864,492.544
layer_1_mlp,1059.840,371.712
layer_2_attn,662.528,477.184
layer_2_mlp,1057.792,372.224
layer_3_attn,667.648,474.624
layer_3_mlp,1056.768,371.712
layer_4_attn,665.600,473.088
layer_4_mlp,1057.792,367.616
layer_5_attn,659.456,468.992
layer_5_mlp,1059.840,369.664
layer_6_attn,658.432,465.920
layer_6_mlp,1055.744,369.664
layer_7_attn,659.456,468.992
layer_7_mlp,1056.768,369.664
layer_8_attn,666.624,466.432
layer_8_mlp,1052.672,370.688
layer_9_attn,653.312,467.968
layer_9_mlp,1054.720,368.640
layer_10_attn,659.456,465.920
layer_10_mlp,1054.720,369.664
layer_11_attn,660.480,468.992
layer_11_mlp,1052.672,367.616
layer_12_attn,657.408,465.920
layer_12_mlp,1054.720,369.664
layer_13_attn,656.384,466.944
layer_13_mlp,1053.696,370.688
layer_14_attn,661.504,465.920
layer_14_mlp,1054.720,368.640
layer_15_attn,659.456,464.896
layer_15_mlp,1052.672,367.616
layer_16_attn,659.456,464.896
layer_16_mlp,1055.744,368.640
layer_17_attn,660.480,466.944
layer_17_mlp,1054.720,368.640
layer_18_attn,655.360,466.944
layer_18_mlp,1053.696,367.616
layer_19_attn,656.384,467.968
layer_19_mlp,1055.744,369.664
layer_20_attn,657.408,466.432
layer_20_mlp,1054.720,370.688
layer_21_attn,660.480,467.968
layer_21_mlp,1055.744,368.640
layer_22_attn,661.504,464.896
layer_22_mlp,1052.672,367.616
layer_23_attn,653.312,467.968
layer_23_mlp,1054.720,368.640
layer_24_attn,662.528,464.384
layer_24_mlp,1053.696,368.640
layer_25_attn,661.504,464.384
layer_25_mlp,1059.840,368.640
layer_26_attn,666.624,466.944
layer_26_mlp,1058.816,369.664
layer_27_attn,658.432,464.896
layer_27_mlp,1059.840,368.640
layer_28_attn,661.504,463.872
layer_28_mlp,1061.888,366.592
layer_29_attn,657.408,464.896
layer_29_mlp,1058.816,368.128
layer_30_attn,659.456,464.896
layer_30_mlp,1059.840,368.640
layer_31_attn,661.504,465.920
layer_31_mlp,1057.792,367.616
norm_lm_head,715.776,704.512
