name,prefill_us,decode_us
embed,56.320,35.840
layer_0_attn,651.264,543.744
layer_0_mlp,1060.864,594.944
layer_1_attn,567.296,464.960
layer_1_mlp,1048.544,585.728
layer_2_attn,563.200,450.496
layer_2_mlp,1041.536,584.144
layer_3_attn,555.168,448.496
layer_3_mlp,1044.288,583.680
layer_4_attn,546.816,449.376
layer_4_mlp,1037.312,583.680
layer_5_attn,545.792,441.904
layer_5_mlp,1036.288,581.712
layer_6_attn,554.880,440.128
layer_6_mlp,1040.416,583.648
layer_7_attn,559.136,441.344
layer_7_mlp,1039.360,583.600
layer_8_attn,541.696,440.320
layer_8_mlp,1040.384,581.632
layer_9_attn,547.840,438.272
layer_9_mlp,1032.192,582.640
layer_10_attn,543.744,441.344
layer_10_mlp,1036.288,582.656
layer_11_attn,544.768,439.712
layer_11_mlp,1035.200,581.632
layer_12_attn,541.696,437.168
layer_12_mlp,1035.264,581.632
layer_13_attn,545.792,439.296
layer_13_mlp,1035.264,582.656
layer_14_attn,539.744,438.272
layer_14_mlp,1037.312,581.632
layer_15_attn,544.768,439.296
layer_15_mlp,1034.240,581.632
layer_16_attn,539.648,438.272
layer_16_mlp,1039.360,581.632
layer_17_attn,541.696,437.216
layer_17_mlp,1034.240,581.632
layer_18_attn,544.768,435.200
layer_18_mlp,1036.288,582.656
layer_19_attn,545.792,438.336
layer_19_mlp,1032.192,581.632
layer_20_attn,539.648,437.248
layer_20_mlp,1033.280,582.656
layer_21_attn,546.816,435.200
layer_21_mlp,1036.288,582.496
layer_22_attn,549.856,437.248
layer_22_mlp,1038.336,581.632
layer_23_attn,536.576,436.224
layer_23_mlp,1036.288,582.656
layer_24_attn,541.696,438.160
layer_24_mlp,1039.360,582.656
layer_25_attn,544.768,436.224
layer_25_mlp,1039.360,582.656
layer_26_attn,548.864,438.160
layer_26_mlp,1038.336,582.640
layer_27_attn,550.912,436.240
layer_27_mlp,1037.312,581.632
layer_28_attn,548.864,437.136
layer_28_mlp,1043.360,581.744
layer_29_attn,541.696,435.616
layer_29_mlp,1040.384,581.632
layer_30_attn,547.840,437.248
layer_30_mlp,1040.384,581.632
layer_31_attn,559.104,437.248
layer_31_mlp,1041.408,581.632
norm_lm_head,1559.360,1539.072
